NETGEAR,WIFI 1,Basabeso,Ehab,basant,room
-69,-68,-71,-66,-68,1
-74,-61,-61,-66,-61,1
-72,-58,-62,-74,-58,1
-72,-63,-71,-68,-63,1
-71,-71,-71,-67,-71,1
-68,-57,-73,-70,-57,1
-68,-58,-66,-62,-58,1
-69,-61,-62,-68,-61,1
-68,-57,-71,-65,-57,1
-67,-54,-71,-61,-54,1
-69,-62,-67,-74,-62,1
-66,-62,-67,-66,-62,1
-65,-62,-71,-63,-62,1
-63,-55,-72,-62,-55,1
-62,-55,-70,-64,-55,1
-64,-56,-73,-78,-56,1
-81,-63,-67,-65,-63,1
-73,-62,-63,-63,-62,1
-77,-55,-62,-70,-55,1
-71,-61,-63,-69,-61,1
-71,-57,-61,-70,-57,1
-67,-58,-68,-68,-58,1
-67,-52,-68,-68,-52,1
-69,-69,-71,-67,-69,1
-69,-67,-66,-71,-67,1
-72,-53,-72,-67,-53,1
-63,-54,-63,-75,-54,1
-73,-61,-68,-67,-61,1
-73,-40,-71,-77,-40,1
-58,-61,-65,-74,-61,1
0,-40,-68,-67,-40,1
-71,-61,-61,-66,-61,1
-67,-61,-75,-66,-61,1
-64,-62,-65,-62,-62,1
0,-62,-61,-64,-62,1
0,-69,-66,-66,-69,1
-83,-57,-62,-64,-57,1
-67,-54,-65,-72,-54,1
0,-54,-64,-66,-54,1
-67,-57,-71,-64,-57,1
-72,-50,-69,-70,-50,1
-71,-52,-72,-61,-52,1
-60,-53,-67,-66,-53,1
0,-52,-72,-71,-52,1
-57,-52,-67,-69,-52,1
-65,-50,-68,-64,-50,1
-67,-63,-69,-70,-63,1
-74,-55,-72,-69,-55,1
-73,-59,-64,-76,-59,1
-68,-44,-72,-66,-44,1
-65,-63,-67,-61,-63,1
-71,-63,-70,-69,-63,1
-70,-61,-65,-68,-61,1
-67,-68,-67,-72,-68,1
-68,-58,-60,-74,-58,1
-69,-55,-58,-66,-55,1
-75,-68,-68,-63,-68,1
-74,-59,-66,-65,-59,1
-68,-59,-68,-63,-59,1
-66,-69,-69,-68,-69,1
-68,-52,-64,-60,-52,1
-67,-52,-64,-57,-52,1
-74,-59,-65,-64,-59,1
-84,-61,-65,-59,-61,1
-78,-61,-82,-60,-61,1
-72,-55,-69,-56,-55,1
-73,-58,-76,-60,-58,1
-75,-57,-66,-54,-57,1
-76,-45,-74,-65,-45,1
-76,-42,-69,-57,-42,1
-71,-41,-69,-61,-41,1
-71,-46,-69,-58,-46,1
-69,-48,-60,-60,-48,1
-75,-59,-72,-64,-59,1
-71,-43,-68,-58,-43,1
0,-59,-68,-53,-59,1
-74,-56,-64,-57,-56,1
-66,-56,-66,-57,-56,1
-73,-57,-63,-70,-57,1
-75,-55,-71,-67,-55,1
-72,-42,-66,-61,-42,1
-60,-38,-69,-64,-38,1
-74,-62,-66,-60,-62,1
-69,-56,-64,-66,-56,1
-64,-53,-55,-65,-53,1
